,config,time,commit_num
170,--gvn --jump-threading --sccp --licm ,4.032700000000001,0
171,--gvn --jump-threading --sccp --iv-users ,4.297600000000001,0
172,--gvn --jump-threading --ipsccp --licm ,4.146500000000002,0
173,--gvn --jump-threading --ipsccp --iv-users ,4.328,0
174,--gvn --jump-threading --licm --iv-users ,4.5753,0
175,--gvn --simplifycfg --sccp --ipsccp ,3.7593,0
176,--gvn --simplifycfg --sccp --licm ,4.037100000000002,0
177,--gvn --simplifycfg --sccp --iv-users ,4.258200000000001,0
178,--gvn --simplifycfg --ipsccp --licm ,4.220600000000002,0
179,--gvn --simplifycfg --ipsccp --iv-users ,4.253500000000001,0
180,--gvn --simplifycfg --licm --iv-users ,4.490900000000001,0
181,--gvn --sccp --ipsccp --licm ,4.126000000000003,0
182,--gvn --sccp --ipsccp --iv-users ,4.371100000000001,0
183,--gvn --sccp --licm --iv-users ,4.6025,0
184,--gvn --ipsccp --licm --iv-users ,4.613499999999999,0
185,--instcombine --inline --jump-threading --simplifycfg ,4.050300000000001,0
186,--instcombine --inline --jump-threading --sccp ,4.1916,0
187,--instcombine --inline --jump-threading --ipsccp ,4.283900000000001,0
188,--instcombine --inline --jump-threading --licm ,4.530500000000002,0
189,--instcombine --inline --jump-threading --iv-users ,4.858599999999999,0
190,--instcombine --inline --simplifycfg --sccp ,4.151700000000002,0
191,--instcombine --inline --simplifycfg --ipsccp ,4.2142,0
192,--instcombine --inline --simplifycfg --licm ,4.521800000000002,0
193,--instcombine --inline --simplifycfg --iv-users ,4.9163,0
194,--instcombine --inline --sccp --ipsccp ,4.402100000000001,0
195,--instcombine --inline --sccp --licm ,4.6104,0
196,--instcombine --inline --sccp --iv-users ,5.008200000000001,0
197,--instcombine --inline --ipsccp --licm ,4.7125,0
198,--instcombine --inline --ipsccp --iv-users ,5.067300000000001,0
199,--instcombine --inline --licm --iv-users ,5.339599999999999,0
200,--instcombine --jump-threading --simplifycfg --sccp ,4.198999999999999,0
201,--instcombine --jump-threading --simplifycfg --ipsccp ,4.282800000000002,0
202,--instcombine --jump-threading --simplifycfg --licm ,4.5602,0
203,--instcombine --jump-threading --simplifycfg --iv-users ,4.9572,0
204,--instcombine --jump-threading --sccp --ipsccp ,4.454600000000001,0
205,--instcombine --jump-threading --sccp --licm ,4.7026,0
206,--instcombine --jump-threading --sccp --iv-users ,5.0912,0
207,--instcombine --jump-threading --ipsccp --licm ,4.7697,0
208,--instcombine --jump-threading --ipsccp --iv-users ,5.1206,0
209,--instcombine --jump-threading --licm --iv-users ,5.430599999999998,0
210,--instcombine --simplifycfg --sccp --ipsccp ,4.431100000000001,0
211,--instcombine --simplifycfg --sccp --licm ,4.687400000000003,0
212,--instcombine --simplifycfg --sccp --iv-users ,5.082100000000001,0
213,--instcombine --simplifycfg --ipsccp --licm ,4.737100000000002,0
214,--instcombine --simplifycfg --ipsccp --iv-users ,5.126999999999999,0
215,--instcombine --simplifycfg --licm --iv-users ,5.4291,0
216,--instcombine --sccp --ipsccp --licm ,4.8558,0
217,--instcombine --sccp --ipsccp --iv-users ,5.247399999999999,0
218,--instcombine --sccp --licm --iv-users ,5.465200000000001,0
219,--instcombine --ipsccp --licm --iv-users ,5.5504,0
220,--inline --jump-threading --simplifycfg --sccp ,1.3799,0
221,--inline --jump-threading --simplifycfg --ipsccp ,1.4195000000000002,0
222,--inline --jump-threading --simplifycfg --licm ,1.8537,0
223,--inline --jump-threading --simplifycfg --iv-users ,1.9337000000000004,0
224,--inline --jump-threading --sccp --ipsccp ,1.6341,0
225,--inline --jump-threading --sccp --licm ,1.9501,0
226,--inline --jump-threading --sccp --iv-users ,2.0869999999999997,0
227,--inline --jump-threading --ipsccp --licm ,2.0000000000000004,0
228,--inline --jump-threading --ipsccp --iv-users ,2.1492000000000004,0
229,--inline --jump-threading --licm --iv-users ,2.4715,0
230,--inline --simplifycfg --sccp --ipsccp ,1.5483999999999998,0
231,--inline --simplifycfg --sccp --licm ,1.8829,0
232,--inline --simplifycfg --sccp --iv-users ,1.9747,0
233,--inline --simplifycfg --ipsccp --licm ,1.9470000000000005,0
234,--inline --simplifycfg --ipsccp --iv-users ,1.9993,0
235,--inline --simplifycfg --licm --iv-users ,2.3974000000000006,0
236,--inline --sccp --ipsccp --licm ,2.1527,0
237,--inline --sccp --ipsccp --iv-users ,2.2707,0
238,--inline --sccp --licm --iv-users ,2.561900000000001,0
239,--inline --ipsccp --licm --iv-users ,2.6061,0
240,--jump-threading --simplifycfg --sccp --ipsccp ,1.6701,0
241,--jump-threading --simplifycfg --sccp --licm ,1.9823000000000008,0
242,--jump-threading --simplifycfg --sccp --iv-users ,2.1651,0
243,--jump-threading --simplifycfg --ipsccp --licm ,2.0589000000000004,0
244,--jump-threading --simplifycfg --ipsccp --iv-users ,2.17,0
245,--jump-threading --simplifycfg --licm --iv-users ,2.5391,0
246,--jump-threading --sccp --ipsccp --licm ,2.1462999999999988,0
247,--jump-threading --sccp --ipsccp --iv-users ,2.2926,0
248,--jump-threading --sccp --licm --iv-users ,2.668800000000001,0
249,--jump-threading --ipsccp --licm --iv-users ,2.7441,0
250,--simplifycfg --sccp --ipsccp --licm ,2.0959000000000003,0
251,--simplifycfg --sccp --ipsccp --iv-users ,2.2215000000000003,0
252,--simplifycfg --sccp --licm --iv-users ,2.5952000000000006,0
253,--simplifycfg --ipsccp --licm --iv-users ,2.598500000000001,0
254,--sccp --ipsccp --licm --iv-users ,2.857400000000001,0
255,--gvn --instcombine --inline --jump-threading --simplifycfg ,5.299900000000001,0
256,--gvn --instcombine --inline --jump-threading --sccp ,5.440400000000001,0
257,--gvn --instcombine --inline --jump-threading --ipsccp ,5.454699999999998,0
258,--gvn --instcombine --inline --jump-threading --licm ,5.661299999999998,0
259,--gvn --instcombine --inline --jump-threading --iv-users ,6.065200000000002,0
260,--gvn --instcombine --inline --simplifycfg --sccp ,5.3835,0
261,--gvn --instcombine --inline --simplifycfg --ipsccp ,5.410599999999999,0
262,--gvn --instcombine --inline --simplifycfg --licm ,5.5878000000000005,0
263,--gvn --instcombine --inline --simplifycfg --iv-users ,5.9967000000000015,0
264,--gvn --instcombine --inline --sccp --ipsccp ,5.456099999999998,0
265,--gvn --instcombine --inline --sccp --licm ,5.760900000000001,0
266,--gvn --instcombine --inline --sccp --iv-users ,6.1156000000000015,0
267,--gvn --instcombine --inline --ipsccp --licm ,5.8049,0
268,--gvn --instcombine --inline --ipsccp --iv-users ,6.162500000000001,0
269,--gvn --instcombine --inline --licm --iv-users ,6.3622000000000005,0
270,--gvn --instcombine --jump-threading --simplifycfg --sccp ,5.424499999999998,0
271,--gvn --instcombine --jump-threading --simplifycfg --ipsccp ,5.4853,0
272,--gvn --instcombine --jump-threading --simplifycfg --licm ,5.7688000000000015,0
273,--gvn --instcombine --jump-threading --simplifycfg --iv-users ,6.068,0
274,--gvn --instcombine --jump-threading --sccp --ipsccp ,5.682600000000001,0
275,--gvn --instcombine --jump-threading --sccp --licm ,5.869599999999998,0
