,commit,time,command,running_time
79,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 12 -p 4,360.15
80,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 1,796.41
81,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 2,449.18
82,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 3,372.85
83,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 4,348.69
84,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 1,797.65
85,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 2,449.93
86,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 3,381.65
87,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 4,352.73
88,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -4 -p 1,795.83
89,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -4 -p 2,446.66
90,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -4 -p 3,389.01
91,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -4 -p 4,354.79
92,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 4 -p 1,804.69
93,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 4 -p 2,436.76
94,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 4 -p 3,382.42
95,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 4 -p 4,353.31
96,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 12 -p 1,795.83
97,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 12 -p 2,445.99
98,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 12 -p 3,380.3
99,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N 12 -p 4,355.62
100,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -20 -p 1,691.82
101,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -20 -p 2,440.52
102,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -20 -p 3,361.46
103,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 9 -w 1 -N -20 -p 4,337.13
